"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Apr-2023","EQ","720.90","723.60","716.35","717.30","719.15","718.40","718.89","861.15","686.60","702,063","504,703,087.75","27,052"
"11-Apr-2023","EQ","725.95","725.95","715.70","720.65","718.00","717.30","718.53","861.15","686.60","776,167","557,697,671.75","33,547"
"10-Apr-2023","EQ","727.00","730.65","720.00","730.50","721.80","720.65","722.70","861.15","686.60","916,628","662,445,680.05","25,035"
"06-Apr-2023","EQ","727.30","731.45","722.50","727.40","730.00","730.50","728.22","861.15","686.60","738,748","537,971,640.80","27,344"
"05-Apr-2023","EQ","717.00","728.40","715.00","717.05","727.65","727.40","723.95","861.15","686.60","947,741","686,116,972.00","31,510"
"03-Apr-2023","EQ","710.00","718.50","709.30","708.85","716.95","717.05","714.89","861.15","686.60","797,533","570,150,795.15","28,954"
"31-Mar-2023","EQ","700.15","711.00","698.55","697.55","711.00","708.85","707.58","861.15","686.60","972,962","688,444,255.20","25,636"
"29-Mar-2023","EQ","696.05","703.00","694.80","696.05","698.00","697.55","698.82","861.15","686.60","1,160,832","811,209,026.45","45,247"
"28-Mar-2023","EQ","690.00","699.65","690.00","699.35","696.00","696.05","696.35","861.15","686.60","1,113,702","775,527,738.05","31,594"
"27-Mar-2023","EQ","706.90","707.40","697.20","702.35","697.45","699.35","705.43","861.15","686.60","3,695,292","2,606,776,976.20","32,804"
"24-Mar-2023","EQ","707.00","709.70","698.85","707.15","701.10","702.35","703.36","861.15","686.60","960,470","675,556,293.65","30,789"
"23-Mar-2023","EQ","711.55","713.95","705.80","710.90","706.50","707.15","709.67","861.15","686.60","587,643","417,031,540.85","27,442"
"22-Mar-2023","EQ","701.00","716.20","701.00","700.90","711.55","710.90","711.09","861.15","686.60","776,214","551,960,843.85","25,992"
"21-Mar-2023","EQ","704.10","706.00","700.00","702.60","701.00","700.90","702.70","861.15","686.60","721,243","506,818,051.15","29,285"
"20-Mar-2023","EQ","691.00","706.75","691.00","706.20","703.45","702.60","697.72","861.15","686.60","1,018,438","710,588,687.90","38,046"
"17-Mar-2023","EQ","698.00","708.65","694.40","694.00","708.00","706.20","704.68","861.15","686.60","2,111,478","1,487,926,373.05","34,574"
"16-Mar-2023","EQ","689.00","696.45","689.00","687.55","694.15","694.00","693.66","861.15","686.60","974,834","676,200,509.50","42,439"
"15-Mar-2023","EQ","696.00","699.95","686.60","693.30","689.80","687.55","692.33","861.15","686.60","1,119,482","775,046,475.10","49,390"
"14-Mar-2023","EQ","696.00","700.00","689.45","694.15","693.95","693.30","694.88","861.15","689.45","1,501,579","1,043,411,950.15","46,084"
"13-Mar-2023","EQ","705.00","707.30","691.75","704.40","695.70","694.15","698.08","861.15","691.75","1,158,330","808,612,415.75","49,727"
"10-Mar-2023","EQ","707.00","710.20","701.35","709.25","705.10","704.40","705.77","861.15","650.20","970,983","685,291,589.70","34,171"
"09-Mar-2023","EQ","722.85","722.85","708.10","720.50","710.75","709.25","714.41","861.15","650.20","905,544","646,926,105.05","27,396"
"08-Mar-2023","EQ","713.00","723.20","710.80","713.60","719.85","720.50","718.46","861.15","650.20","1,026,628","737,588,726.75","35,571"
"06-Mar-2023","EQ","713.00","718.75","709.95","709.85","714.00","713.60","715.33","861.15","650.20","739,338","528,869,428.00","27,465"
"03-Mar-2023","EQ","709.00","713.25","706.20","707.35","709.05","709.85","709.24","861.15","650.20","873,264","619,355,389.55","34,941"
"02-Mar-2023","EQ","716.85","718.35","705.85","715.25","707.00","707.35","711.54","861.15","650.20","969,963","690,164,163.65","29,991"
"01-Mar-2023","EQ","712.95","716.90","709.55","715.30","716.90","715.25","714.00","861.15","650.20","991,540","707,957,679.80","28,710"
"28-Feb-2023","EQ","712.00","717.75","705.55","710.30","715.95","715.30","713.93","861.15","650.20","2,395,442","1,710,178,090.00","30,572"
"27-Feb-2023","EQ","720.00","720.50","700.00","716.15","711.85","710.30","707.41","861.15","650.20","1,064,436","752,996,678.35","38,917"
