"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"12-Apr-2023","EQ","63.00","65.20","61.50","62.45","62.95","62.85","63.22","167.30","49.65","2,823,333","178,495,823.80","15,278"
"11-Apr-2023","EQ","61.30","63.30","61.00","60.95","62.40","62.45","62.18","167.30","49.65","3,434,451","213,548,454.15","18,827"
"10-Apr-2023","EQ","67.35","67.35","60.95","64.15","60.95","60.95","64.73","167.30","49.65","11,447,733","740,973,261.95","38,606"
"06-Apr-2023","EQ","64.15","64.15","64.15","61.10","64.15","64.15","64.15","178.70","49.65","346,211","22,209,435.65","1,536"
"05-Apr-2023","EQ","59.65","61.10","58.80","58.20","61.10","61.10","60.46","178.70","49.65","1,424,356","86,113,341.25","3,604"
"03-Apr-2023","EQ","54.95","58.20","53.60","55.45","58.20","58.20","56.46","178.70","49.65","3,585,051","202,417,051.35","10,957"
"31-Mar-2023","EQ","55.45","55.45","55.45","52.85","55.45","55.45","55.45","178.70","49.65","691,697","38,354,598.65","2,181"
"29-Mar-2023","EQ","50.05","52.85","49.65","50.35","52.85","52.85","52.35","178.70","49.65","2,041,879","106,887,612.25","8,640"
"28-Mar-2023","EQ","52.80","53.40","50.20","52.80","50.55","50.35","51.26","178.70","50.20","2,459,107","126,046,850.35","14,973"
"27-Mar-2023","EQ","55.95","55.95","52.50","55.25","52.55","52.80","53.37","178.70","52.10","2,333,712","124,560,795.70","16,166"
"24-Mar-2023","EQ","58.05","58.05","55.05","56.55","55.50","55.25","56.08","178.70","52.10","1,726,534","96,826,224.10","11,641"
"23-Mar-2023","EQ","57.60","57.95","56.25","57.30","56.60","56.55","57.11","178.70","52.10","1,482,482","84,669,524.10","9,179"
"22-Mar-2023","EQ","57.00","58.80","56.90","56.65","57.50","57.30","57.67","178.70","52.10","1,381,100","79,643,663.00","9,001"
"21-Mar-2023","EQ","57.20","57.65","56.20","56.60","56.85","56.65","56.95","178.70","52.10","1,337,764","76,186,305.25","9,112"
"20-Mar-2023","EQ","58.40","58.40","56.00","58.65","56.80","56.60","56.56","178.70","52.10","1,752,390","99,112,117.70","14,224"
"17-Mar-2023","EQ","59.45","60.90","58.00","58.70","58.40","58.65","59.38","178.70","52.10","1,874,964","111,342,736.55","11,449"
"16-Mar-2023","EQ","60.80","61.00","58.10","60.85","58.75","58.70","59.08","178.70","52.10","1,680,671","99,300,908.35","11,835"
"15-Mar-2023","EQ","59.35","62.05","59.20","59.10","60.40","60.85","60.89","178.70","52.10","4,020,641","244,829,049.25","17,406"
"14-Mar-2023","EQ","59.30","60.80","58.65","59.40","59.35","59.10","59.45","178.70","52.10","1,939,451","115,291,338.95","14,180"
"13-Mar-2023","EQ","62.00","62.30","59.35","62.45","59.35","59.40","60.25","178.70","52.10","2,412,799","145,381,536.65","19,101"
"10-Mar-2023","EQ","62.10","64.00","61.90","65.15","62.70","62.45","62.75","179.70","52.10","2,962,572","185,896,815.75","18,443"
"09-Mar-2023","EQ","69.45","69.50","65.15","68.55","65.15","65.15","66.59","179.70","52.10","3,258,183","216,969,739.20","20,962"
"08-Mar-2023","EQ","70.95","70.95","66.15","68.00","68.55","68.55","68.51","179.70","52.10","7,454,715","510,715,144.85","42,593"
"06-Mar-2023","EQ","68.00","68.00","68.00","64.80","68.00","68.00","68.00","179.70","52.10","381,219","25,922,892.00","1,736"
"03-Mar-2023","EQ","64.50","64.80","64.00","61.75","64.80","64.80","64.57","201.00","52.10","1,646,386","106,311,262.40","4,412"
"02-Mar-2023","EQ","60.50","61.75","60.10","58.85","61.75","61.75","61.36","201.00","52.10","940,416","57,707,099.75","5,379"
"01-Mar-2023","EQ","56.80","58.85","56.30","56.05","58.85","58.85","58.37","201.00","52.10","5,334,663","311,377,404.20","13,557"
"28-Feb-2023","EQ","54.00","56.15","52.50","53.50","56.15","56.05","54.51","201.00","52.10","8,044,125","438,503,288.85","31,269"
"27-Feb-2023","EQ","56.40","57.45","52.10","57.55","52.75","53.50","54.88","201.00","52.10","7,752,691","425,447,709.85","45,075"
"24-Feb-2023","EQ","59.50","60.65","56.30","59.00","57.40","57.55","58.57","209.00","52.60","11,962,653","700,683,380.85","53,415"
"23-Feb-2023","EQ","57.25","63.00","52.60","57.30","58.35","59.00","57.93","209.00","52.60","19,164,087","1,110,200,972.40","66,678"
"22-Feb-2023","EQ","59.70","62.75","56.25","59.70","57.25","57.30","58.16","209.00","56.25","9,366,911","544,761,362.85","36,579"
"21-Feb-2023","EQ","64.05","64.50","59.05","63.80","59.60","59.70","61.10","209.00","59.05","5,525,302","337,576,473.85","30,912"
"20-Feb-2023","EQ","66.45","66.50","63.55","66.10","64.00","63.80","64.13","209.00","63.55","2,332,993","149,609,636.20","16,898"
"17-Feb-2023","EQ","67.00","68.20","65.60","67.00","66.00","66.10","66.62","209.00","64.70","1,710,945","113,981,819.80","10,445"
"16-Feb-2023","EQ","67.00","68.70","66.50","66.35","67.05","67.00","67.18","209.00","64.70","1,723,527","115,793,104.25","13,994"
"15-Feb-2023","EQ","66.80","67.35","65.00","67.35","66.90","66.35","65.85","209.00","64.70","2,413,143","158,897,812.50","18,160"
"14-Feb-2023","EQ","70.55","72.85","67.00","69.80","67.15","67.35","69.07","209.00","64.70","2,692,465","185,958,438.75","17,138"
"13-Feb-2023","EQ","64.80","72.20","64.75","66.40","69.80","69.80","70.17","209.00","64.70","4,815,187","337,900,324.45","30,061"
"10-Feb-2023","EQ","69.05","70.00","64.70","69.25","66.60","66.40","66.73","209.00","64.70","4,975,666","332,034,235.85","29,829"
"09-Feb-2023","EQ","71.25","73.40","68.70","71.25","69.40","69.25","70.19","209.00","68.70","3,913,139","274,676,884.20","24,562"
"08-Feb-2023","EQ","74.55","74.75","70.80","74.60","71.15","71.25","72.12","209.00","70.80","3,348,496","241,504,675.15","25,107"
"07-Feb-2023","EQ","78.40","78.60","73.00","77.60","74.65","74.60","75.13","209.00","73.00","2,103,218","158,010,374.60","17,976"
"06-Feb-2023","EQ","78.00","79.50","77.25","77.60","77.50","77.60","78.09","209.00","73.00","1,109,737","86,660,279.60","9,724"
"03-Feb-2023","EQ","78.70","78.70","74.25","77.45","77.70","77.60","76.25","210.40","73.00","2,299,957","175,381,606.15","17,783"
"02-Feb-2023","EQ","81.00","82.40","77.00","80.20","77.85","77.45","79.31","210.40","73.00","1,758,997","139,510,379.20","19,912"
"01-Feb-2023","EQ","80.85","83.20","77.10","79.25","80.85","80.20","81.78","210.40","73.00","3,490,144","285,430,664.05","21,802"
"31-Jan-2023","EQ","73.00","79.25","73.00","75.50","79.25","79.25","77.61","210.40","73.00","1,918,856","148,922,451.30","12,455"
"30-Jan-2023","EQ","77.75","79.75","75.00","77.65","75.60","75.50","76.71","210.40","75.00","1,480,899","113,594,877.80","14,397"
"27-Jan-2023","EQ","81.00","81.15","77.05","81.10","77.95","77.65","78.02","210.40","77.05","2,134,434","166,537,529.10","22,965"
"25-Jan-2023","EQ","82.85","82.85","79.70","82.90","81.15","81.10","81.11","210.40","78.85","1,365,359","110,747,429.15","14,301"
"24-Jan-2023","EQ","83.75","83.95","82.70","83.00","83.00","82.90","83.08","210.40","78.85","747,563","62,104,022.90","7,011"
"23-Jan-2023","EQ","85.50","85.60","82.30","84.65","83.10","83.00","83.52","210.40","78.85","967,078","80,773,542.35","11,241"
"20-Jan-2023","EQ","87.20","87.20","84.50","86.30","84.70","84.65","85.27","210.40","78.85","686,063","58,497,518.00","8,958"
"19-Jan-2023","EQ","87.40","89.40","86.00","87.40","86.30","86.30","87.46","210.40","78.85","1,633,024","142,816,145.10","15,690"
"18-Jan-2023","EQ","82.80","87.40","82.15","83.25","87.40","87.40","86.18","210.40","78.85","4,160,533","358,534,848.35","19,706"
"17-Jan-2023","EQ","84.45","84.70","82.45","84.50","83.20","83.25","83.38","210.40","78.85","1,040,811","86,781,191.95","12,601"
"16-Jan-2023","EQ","85.80","85.85","84.40","85.30","84.60","84.50","84.85","210.40","78.85","955,572","81,077,971.75","11,500"
"13-Jan-2023","EQ","84.95","87.00","84.95","85.05","85.25","85.30","85.55","210.40","78.85","1,131,121","96,766,077.05","11,440"
"12-Jan-2023","EQ","85.55","86.15","84.85","85.55","84.95","85.05","85.28","210.40","78.85","801,554","68,357,494.55","10,966"
"11-Jan-2023","EQ","86.50","87.80","85.30","86.55","85.70","85.55","86.47","210.40","78.85","1,120,866","96,917,916.40","12,437"
"10-Jan-2023","EQ","87.00","88.20","85.20","86.55","86.80","86.55","86.51","210.40","78.85","1,479,568","127,995,891.15","13,706"
"09-Jan-2023","EQ","88.00","88.80","86.00","87.30","87.00","86.55","87.23","210.40","78.85","1,077,246","93,971,112.40","15,569"
"06-Jan-2023","EQ","89.45","89.45","86.50","88.90","87.60","87.30","87.45","210.40","78.85","1,320,023","115,442,427.70","14,387"
"05-Jan-2023","EQ","89.80","90.40","87.85","89.65","89.60","88.90","89.15","210.40","78.85","953,353","84,992,724.75","12,485"
"04-Jan-2023","EQ","92.00","92.00","89.45","91.65","89.70","89.65","90.14","210.40","78.85","969,518","87,390,459.50","12,400"
"03-Jan-2023","EQ","91.80","93.60","91.15","91.80","91.70","91.65","92.10","210.40","78.85","1,176,762","108,379,852.70","11,735"
"02-Jan-2023","EQ","92.85","93.80","91.15","92.75","91.95","91.80","92.31","210.40","78.85","1,453,404","134,170,850.70","12,723"
